IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,DOT_ID,processed_at
COU,Columbia Regional Airport,Columbia,MO,USA,38.81809,-92.21963,11111,2026-08-11 04:08:10
CPR,Natrona County International Airport,Casper,WY,USA,42.90836,-106.46447,11122,2026-08-11 04:08:10
CRP,Corpus Christi International Airport,Corpus Christi,TX,USA,27.77036,-97.50122,11140,2026-08-11 04:08:10
CRW,Yeager Airport,Charleston,WV,USA,38.37315,-81.59319,11146,2026-08-11 04:08:10
CSG,Columbus Metropolitan Airport,Columbus,GA,USA,32.51633,-84.93886,11150,2026-08-11 04:08:10
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.04614,-84.66217,11193,2026-08-11 04:08:10
CWA,Central Wisconsin Airport,Mosinee,WI,USA,44.77762,-89.66678,11203,2026-08-11 04:08:10
DAB,Daytona Beach International Airport,Daytona Beach,FL,USA,29.17992,-81.05806,11252,2026-08-11 04:08:10
DAL,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177,11259,2026-08-11 04:08:10
DAY,James M. Cox Dayton International Airport,Dayton,OH,USA,39.90238,-84.21938,11267,2026-08-11 04:08:10
DBQ,Dubuque Regional Airport,Dubuque,IA,USA,42.40296,-90.70917,11274,2026-08-11 04:08:10
DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772,11278,2026-08-11 04:08:10
DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667,11292,2026-08-11 04:08:10
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,11298,2026-08-11 04:08:10
DHN,Dothan Regional Airport,Dothan,AL,USA,31.32134,-85.44963,11308,2026-08-11 04:08:10
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,USA,46.79739,-102.80195,11315,2026-08-11 04:08:10
DLG,Dillingham Airport,Dillingham,AK,USA,59.04541,-158.50334,11336,2026-08-11 04:08:10
DLH,Duluth International Airport,Duluth,MN,USA,46.84209,-92.19365,11337,2026-08-11 04:08:10
DRO,Durango-La Plata County Airport,Durango,CO,USA,37.15152,-107.75377,11413,2026-08-11 04:08:10
DSM,Des Moines International Airport,Des Moines,IA,USA,41.53493,-93.66068,11423,2026-08-11 04:08:10
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884,11433,2026-08-11 04:08:10
